name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated
Рамазанов Сираждин Омарович,37,434,174390,32568,815,1799,20.17,0.47,1.03,False,12,0,6,0
Рублева Юлия Владимировна,37,3091,174390,32568,815,1799,20.17,0.47,1.03,False,8,0,6,0
Русакова Елена Леонидовна,37,9002,174390,32568,815,1799,20.17,0.47,1.03,False,9,0,6,0
Сильнов Алексей Сергеевич,37,4421,174390,32568,815,1799,20.17,0.47,1.03,False,0,0,6,0
Балакин Михаил Дмитриевич,38,20450,184405,42769,292,1470,24.15,0.16,0.8,True,5,0,2,0
Сагенбаев Игорь Александрович,38,9399,184405,42769,292,1470,24.15,0.16,0.8,False,4,0,2,0
Токаев Борис Владимирович,38,2197,184405,42769,292,1470,24.15,0.16,0.8,False,0,0,2,0
Хандриков Илья Николаевич,38,3079,184405,42769,292,1470,24.15,0.16,0.8,False,9,0,2,0
Шелудько Александр Леонидович,38,2070,184405,42769,292,1470,24.15,0.16,0.8,False,0,0,2,0
Ширяев Денис Александрович,38,5262,184405,42769,292,1470,24.15,0.16,0.8,False,8,0,2,0
Лябихов Роман Михайлович,39,3719,158930,34507,716,1558,23.14,0.45,0.98,False,4,0,1,0
Московченко Николай Михайлович,39,4283,158930,34507,716,1558,23.14,0.45,0.98,False,8,0,1,0
Ноздрин Александр Дмитриевич,39,1536,158930,34507,716,1558,23.14,0.45,0.98,False,5,0,1,0
Палеев Антон Рафаэльевич,39,14368,158930,34507,716,1558,23.14,0.45,0.98,True,10,1,1,1
Сиднев Виктор Владимирович,39,10107,158930,34507,716,1558,23.14,0.45,0.98,False,11,0,1,0
Сысоев Дмитрий Ростиславович,39,1259,158930,34507,716,1558,23.14,0.45,0.98,False,9,0,1,0
Милявский Александр Борисович,40,17609,173716,31972,697,1777,19.83,0.4,1.02,True,10,1,2,1
Павленков Юрий Викторович,40,2495,173716,31972,697,1777,19.83,0.4,1.02,False,8,0,2,0
Радаева Ольга Вячеславовна,40,4191,173716,31972,697,1777,19.83,0.4,1.02,False,9,0,2,0
Раменский Павел Олегович,40,3255,173716,31972,697,1777,19.83,0.4,1.02,False,5,0,2,0
Святошенко Владимир Алексеевич,40,5572,173716,31972,697,1777,19.83,0.4,1.02,False,4,0,2,0
Александрова Мария Александровна,41,5947,164090,28076,637,1644,18.5,0.39,1.0,False,4,0,1,0
Захаркин Руслан Игоревич,41,2164,164090,28076,637,1644,18.5,0.39,1.0,False,5,0,1,0
Казенков Олег Юрьевич,41,3380,164090,28076,637,1644,18.5,0.39,1.0,False,8,0,1,0
Лемперт Петр Иванович,41,3220,164090,28076,637,1644,18.5,0.39,1.0,False,11,0,1,0
Поселёнов Павел Александрович,41,12192,164090,28076,637,1644,18.5,0.39,1.0,True,10,1,1,1
