name, party
Медведев Александр Константинович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Минько Нина Григорьевна,Самовыдвижение
Петров Иван Евгеньевич,Московское городское отделение политической партии Либерально-демократическая партия России
Пороховниченко Юрий Иванович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Сонкин Виктор Николаевич,Самовыдвижение
Давыдов Денис Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Елисеев Сергей Геннадиевич,Московское городское отделение политической партии Либерально-демократическая партия России
Мишин Алексей Валентинович,Самовыдвижение
Новиков Дмитрий Владимирович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Поняхина Марина Анатольевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Репкина Елена Владимировна,Самовыдвижение
Анохин Сергей Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Грязнова Варвара Леонидовна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Зверев Сергей Иванович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Курафеев Александр Юрьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Новикова Анна Сергеевна,Московское городское отделение политической партии Либерально-демократическая партия России
Сухов Олег Владимирович,Самовыдвижение
Гончаров Кирилл Алексеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Дьячков Роман Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
