,name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,state_employee,affiliation
148,Никитина Любовь Евгеньевна,4,1,0,31,13173,144846,27625,614,1609,20.61,0.42,1.11,1,1,-1,2
149,Жандарова Юлия Александровна,8,0,-1,31,2349,144846,27625,614,1609,20.61,0.42,1.11,0,1,-1,2
150,Зверев Сергей Иванович,0,0,-1,31,8774,144846,27625,614,1609,20.61,0.42,1.11,0,1,1,1
151,Милешин Андрей Леонидович,3,0,-1,31,2669,144846,27625,614,1609,20.61,0.42,1.11,0,1,-1,0
152,Шманцарь Юлия Александровна,5,0,-1,31,1755,144846,27625,614,1609,20.61,0.42,1.11,0,1,-1,2
153,Мельникова Ольга Николаевна,0,0,1,32,12119,145555,29467,486,3330,22.87,0.33,2.29,1,1,1,1
154,Бернев Владимир Владимирович,5,0,-1,32,2192,145555,29467,486,3330,22.87,0.33,2.29,0,1,-1,2
155,Залищак Владимир Борисович,8,1,-1,32,2192,145555,29467,486,3330,22.87,0.33,2.29,0,1,-1,2
156,Куликов Денис Павлович,3,0,-1,32,1665,145555,29467,486,3330,22.87,0.33,2.29,0,1,-1,0
157,Лихачев Клим Сергеевич,4,0,-1,32,11679,145555,29467,486,3330,22.87,0.33,2.29,0,1,-1,2
158,Падалка Сергей Андреевич,2,0,-1,32,2155,145555,29467,486,3330,22.87,0.33,2.29,0,1,-1,2
159,Гусева Людмила Ивановна,0,0,1,33,14401,184588,32959,932,1471,19.16,0.5,0.8,1,1,1,1
160,Гринченко Владимир Владимирович,5,0,-1,33,3127,184588,32959,932,1471,19.16,0.5,0.8,0,1,-1,2
161,Папян Гарегин Гришаевич,8,0,-1,33,1132,184588,32959,932,1471,19.16,0.5,0.8,0,1,-1,2
162,Присняк Виктор Владимирович,7,0,-1,33,1451,184588,32959,932,1471,19.16,0.5,0.8,0,1,-1,0
163,Смирнов Левон Леонидович,4,1,-1,33,11284,184588,32959,932,1471,19.16,0.5,0.8,0,1,-1,2
164,Федоров Павел Сергеевич,3,0,-1,33,2731,184588,32959,932,1471,19.16,0.5,0.8,0,1,-1,0
165,Семенников Александр Григорьевич,0,0,1,34,11888,162669,29802,1091,1888,20.15,0.67,1.16,1,0,1,1
166,Гладкова Юлия Генриховна,4,1,-1,34,11314,162669,29802,1091,1888,20.15,0.67,1.16,0,0,-1,2
167,Филатов Александр Иванович,3,0,-1,34,2071,162669,29802,1091,1888,20.15,0.67,1.16,0,0,-1,0
168,Чирков Максим Андреевич,8,0,-1,34,4157,162669,29802,1091,1888,20.15,0.67,1.16,0,0,-1,2
169,Юриков Антон Вадимович,5,0,-1,34,2106,162669,29802,1091,1888,20.15,0.67,1.16,0,0,-1,2
170,Метлина Наталия Борисовна,0,0,1,35,13285,174827,34762,858,2397,21.75,0.49,1.37,1,0,1,1
171,Аграновский Дмитрий Владимирович,4,0,-1,35,4485,174827,34762,858,2397,21.75,0.49,1.37,0,0,-1,2
172,Васильев Сергей Иванович,8,1,-1,35,10754,174827,34762,858,2397,21.75,0.49,1.37,0,0,-1,2
173,Малахов Сергей Викторович,0,0,-1,35,2866,174827,34762,858,2397,21.75,0.49,1.37,0,0,1,1
174,Монахов Михаил Игоревич,5,0,-1,35,2204,174827,34762,858,2397,21.75,0.49,1.37,0,0,-1,2
175,Рязанов Владимир Викторович,3,0,-1,35,3021,174827,34762,858,2397,21.75,0.49,1.37,0,0,-1,0
176,Курганский Сергей Борисович,4,1,-1,36,10845,145138,27537,956,2502,21.36,0.66,1.72,0,0,-1,2
177,Папета Артём Владимирович,0,0,-1,36,1084,145138,27537,956,2502,21.36,0.66,1.72,0,0,1,1
178,Покатаев Алексей Николаевич,3,0,-1,36,1308,145138,27537,956,2502,21.36,0.66,1.72,0,0,-1,0
179,Репников Дмитрий Александрович,5,0,-1,36,3618,145138,27537,956,2502,21.36,0.66,1.72,0,0,-1,2
180,Рябцева Олеся Александровна,8,0,-1,36,2141,145138,27537,956,2502,21.36,0.66,1.72,0,0,-1,2
181,Шарапова Ольга Викторовна,0,0,1,36,10871,145138,27537,956,2502,21.36,0.66,1.72,1,0,1,1
182,Губенко Николай Николаевич,4,1,0,37,20621,170972,32023,1035,2411,20.75,0.61,1.41,1,2,-1,2
183,Максимов Юрий Николаевич,5,0,-1,37,6751,170972,32023,1035,2411,20.75,0.61,1.41,0,2,-1,2
184,Романович Александр Леонидович,8,0,-1,37,6076,170972,32023,1035,2411,20.75,0.61,1.41,0,2,-1,2
185,Козлов Александр Михайлович,0,0,1,38,22021,254738,58759,944,2146,24.28,0.37,0.84,1,1,1,1
186,Андрусенко Наталия Юрьевна,3,0,-1,38,5179,254738,58759,944,2146,24.28,0.37,0.84,0,1,-1,0
187,Глек Игорь Владимирович,8,0,-1,38,15437,254738,58759,944,2146,24.28,0.37,0.84,0,1,-1,2
188,Еремина Людмила Александровна,4,1,-1,38,9175,254738,58759,944,2146,24.28,0.37,0.84,0,1,-1,2
189,Смирнов Станислав Александрович,5,0,-1,38,6523,254738,58759,944,2146,24.28,0.37,0.84,0,1,-1,2
190,Головченко Валерий Владимирович,0,0,1,39,14992,184190,39424,1075,1986,23.07,0.58,1.08,1,1,0,1
191,Безрядов Андрей Валерьевич,8,0,-1,39,4483,184190,39424,1075,1986,23.07,0.58,1.08,0,1,-1,2
192,Бестаев Николай Самсонович,3,0,-1,39,4274,184190,39424,1075,1986,23.07,0.58,1.08,0,1,-1,0
193,Видьманов Александр Олегович,4,1,-1,39,11945,184190,39424,1075,1986,23.07,0.58,1.08,0,1,-1,2
194,Митяев Александр Константинович,5,0,-1,39,4374,184190,39424,1075,1986,23.07,0.58,1.08,0,1,-1,2
195,Батышева Татьяна Тимофеевна,0,0,1,40,13280,183216,33116,788,1955,19.57,0.43,1.07,1,1,1,1
196,Гераськин Сергей Федорович,5,0,-1,40,2601,183216,33116,788,1955,19.57,0.43,1.07,0,1,-1,2
197,Матвеев Сергей Иванович,7,0,-1,40,1308,183216,33116,788,1955,19.57,0.43,1.07,0,1,-1,0
198,Михайловский Александр Всеволодович,8,0,-1,40,3585,183216,33116,788,1955,19.57,0.43,1.07,0,1,-1,2
199,Мороз Сергей Борисович,3,0,-1,40,1866,183216,33116,788,1955,19.57,0.43,1.07,0,1,-1,0
200,Суханов Игорь Владимирович,4,1,-1,40,11718,183216,33116,788,1955,19.57,0.43,1.07,0,1,-1,2
201,Герасимов Евгений Владимирович,0,0,1,41,12602,163708,27592,875,2268,18.77,0.53,1.39,1,2,1,1
202,Богатыренко Герман Юрьевич,5,0,-1,41,2154,163708,27592,875,2268,18.77,0.53,1.39,0,2,-1,2
203,Павлова Екатерина Геннадьевна,3,0,-1,41,2002,163708,27592,875,2268,18.77,0.53,1.39,0,2,-1,0
204,Соболев Алексей Анатольевич,0,0,-1,41,2228,163708,27592,875,2268,18.77,0.53,1.39,0,2,0,2
