name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Балабуткин Алексей Алексеевич,24,1095,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,-1,3
Дягилев Игорь Владимирович,24,13241,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,1,0
Тарасов Антон Александрович,24,2975,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,0,0
Тарасов Павел Михайлович,24,15603,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,True,0,1,0,-1,4
Шереметьев Николай Васильевич,24,3105,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,-1,5
Коцюба Владислав Вадимович,25,887,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,False,3,0,-1,-1,8
Меркулов Денис Валерьевич,25,2967,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,False,3,0,-1,-1,5
Орел Андрей Викторович,25,10488,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,False,3,1,-1,-1,4
Полищук Станислав Петрович,25,642,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,False,3,0,-1,0,0
Ракитин Дмитрий Андреевич,25,1344,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,False,3,0,-1,-1,3
Смирнов Сергей Михайлович,25,1945,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,False,3,0,-1,-1,1
Стебенкова Людмила Васильевна,25,11600,143226,27708,351,3067,21.73208774943097,1.1276746128638437,9.853498682773244,True,3,0,1,1,0
Аксенов Илья Андреевич,26,2567,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,0,-1,-1,5
Анисимова Светлана Геннадьевна,26,3243,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,0,-1,-1,3
Исполатов Андрей Борисович,26,3709,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,1,-1,-1,4
Калинин Владимир Александрович,26,7087,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,0,-1,-1,8
Щитов Кирилл Владимирович,26,10553,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,True,0,0,1,1,0
Гоголев Виктор Александрович,27,1959,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,0,-1,-1,3
