name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,joined_united_rus,ur_affiliated,party,affiliation
Куимов Владимир Михайлович,28,5216,150339,29049,890,1694,21.041113749592583,2.813517529162584,5.355167072361142,False,1,0,0,4,2
Мирошина Марина Геннадьевна,28,5365,150339,29049,890,1694,21.041113749592583,2.813517529162584,5.355167072361142,False,1,0,0,8,2
Яблоков Алексей Владимирович,28,3241,150339,29049,890,1694,21.041113749592583,2.813517529162584,5.355167072361142,False,1,0,0,9,2
Гендин Геннадий Васильевич,29,4054,149556,27813,865,1607,20.249939821872744,2.8561994386660063,5.306257223047713,False,2,0,0,8,2
Медведев Александр Константинович,29,7274,149556,27813,865,1607,20.249939821872744,2.8561994386660063,5.306257223047713,False,2,0,0,4,2
Минько Нина Григорьевна,29,10941,149556,27813,865,1607,20.249939821872744,2.8561994386660063,5.306257223047713,True,2,1,0,0,1
Петров Иван Евгеньевич,29,4835,149556,27813,865,1607,20.249939821872744,2.8561994386660063,5.306257223047713,False,2,0,0,5,2
Пороховниченко Юрий Иванович,29,1308,149556,27813,865,1607,20.249939821872744,2.8561994386660063,5.306257223047713,False,2,0,0,9,2
Сонкин Виктор Николаевич,29,815,149556,27813,865,1607,20.249939821872744,2.8561994386660063,5.306257223047713,False,2,0,0,0,0
Давыдов Денис Владимирович,30,5417,159465,29484,856,1570,20.01066064653686,2.682544656847383,4.920087746787841,False,1,0,0,4,2
Елисеев Сергей Геннадиевич,30,1645,159465,29484,856,1570,20.01066064653686,2.682544656847383,4.920087746787841,False,1,0,0,5,2
Мишин Алексей Валентинович,30,16069,159465,29484,856,1570,20.01066064653686,2.682544656847383,4.920087746787841,True,1,1,0,0,1
Новиков Дмитрий Владимирович,30,2352,159465,29484,856,1570,20.01066064653686,2.682544656847383,4.920087746787841,False,1,0,0,9,2
Поняхина Марина Анатольевна,30,1489,159465,29484,856,1570,20.01066064653686,2.682544656847383,4.920087746787841,False,1,0,0,8,2
Репкина Елена Владимировна,30,3860,159465,29484,856,1570,20.01066064653686,2.682544656847383,4.920087746787841,False,1,0,0,0,0
Анохин Сергей Владимирович,31,1346,148225,28338,890,1544,20.760330578512395,2.892239698427141,5.017548420642142,False,4,0,0,8,2
Грязнова Варвара Леонидовна,31,4259,148225,28338,890,1544,20.760330578512395,2.892239698427141,5.017548420642142,False,4,0,0,9,2
Зверев Сергей Иванович,31,16018,148225,28338,890,1544,20.760330578512395,2.892239698427141,5.017548420642142,True,4,1,1,10,1
Курафеев Александр Юрьевич,31,4536,148225,28338,890,1544,20.760330578512395,2.892239698427141,5.017548420642142,False,4,0,0,4,2
Новикова Анна Сергеевна,31,1033,148225,28338,890,1544,20.760330578512395,2.892239698427141,5.017548420642142,False,4,0,0,5,2
Сухов Олег Владимирович,31,2288,148225,28338,890,1544,20.760330578512395,2.892239698427141,5.017548420642142,False,4,0,1,0,0
Гончаров Кирилл Алексеевич,32,7944,152142,30832,679,2023,22.041250936624994,2.024810639947516,6.03268324685394,False,4,0,0,9,2
