name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party,affiliation
Чирков Максим Андреевич,34,4157,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,0,-1,-1,8,2
Юриков Антон Вадимович,34,2106,162669,29802,1091,1887,20.151350288008164,3.328248932275778,5.756558877364246,False,0,0,-1,-1,5,2
Аграновский Дмитрий Владимирович,35,4485,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,-1,4,2
Васильев Сергей Иванович,35,10754,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,1,-1,-1,8,2
Малахов Сергей Викторович,35,2866,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,1,0,0
Метлина Наталия Борисовна,35,13285,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,True,0,0,1,1,0,1
Монахов Михаил Игоревич,35,2204,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,-1,5,2
Рязанов Владимир Викторович,35,3021,174827,34762,858,2396,21.74492498298318,2.2569444444444446,6.302609427609427,False,0,0,-1,-1,3,0
Курганский Сергей Борисович,36,10845,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,1,-1,-1,4,2
Папета Артём Владимирович,36,1084,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,1,0,0
Покатаев Алексей Николаевич,36,1308,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,-1,3,0
Репников Дмитрий Александрович,36,3618,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,-1,5,2
Рябцева Олеся Александровна,36,2141,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,False,0,0,-1,-1,8,2
Шарапова Ольга Викторовна,36,10871,145138,27537,956,2502,21.35553748845926,3.0843684465236327,8.07226972092273,True,0,0,1,1,0,1
Губенко Николай Николаевич,37,20621,170972,32023,1035,2411,20.74550218749269,2.918041106318193,6.797485127858129,True,2,1,0,-1,4,2
Максимов Юрий Николаевич,37,6751,170972,32023,1035,2411,20.74550218749269,2.918041106318193,6.797485127858129,False,2,0,-1,-1,5,2
Романович Александр Леонидович,37,6076,170972,32023,1035,2411,20.74550218749269,2.918041106318193,6.797485127858129,False,2,0,-1,-1,8,2
Андрусенко Наталия Юрьевна,38,5179,254738,58759,944,2147,24.279848314739063,1.5262732417138238,3.471301535974131,False,1,0,-1,-1,3,0
Глек Игорь Владимирович,38,15437,254738,58759,944,2147,24.279848314739063,1.5262732417138238,3.471301535974131,False,1,0,-1,-1,8,2
